GEOID,RS
18173,0.345
18175,0.395
18177,0.379
18179,0.324
18181,0.268
18183,0.311
19001,0.148
19003,
19005,0.186
19007,0.28
19009,0.355
19011,0.271
19013,0.382
19015,0.37
19017,0.246
19019,0.324
19021,0.357
19023,0.261
19025,0.273
19027,0.209
19029,0.262
19031,0.288
19033,0.295
19035,0.333
19037,0.3
19039,0.326
19041,0.367
19043,0.255
19045,0.325
19047,0.283
19049,0.296
19051,0.229
19053,0.308
19055,0.246
19057,0.387
19059,0.231
19061,0.276
19063,0.268
19065,0.287
19067,0.294
19069,0.325
19071,0.352
19073,0.39
19075,0.315
19077,0.354
19079,0.293
19081,0.235
19083,0.308
19085,0.261
19087,0.233
19089,0.164
19091,0.249
19093,0.209
19095,0.206
19097,0.319
19099,0.232
19101,0.158
19103,0.296
19105,0.311
19107,0.239
19109,0.209
19111,0.349
19113,0.318
19115,0.311
19117,0.231
19119,0.189
19121,0.285
19123,0.248
19125,0.3
19127,0.368
19129,0.216
19131,0.23
19133,0.316
19135,0.174
19137,0.336
19139,0.299
19141,0.338
19143,0.24
19145,0.288
19147,0.306
19149,0.226
19151,0.24
19153,0.381
19155,0.341
19157,0.316
19159,
19161,0.261
19163,0.367
19165,0.347
19167,0.213
19169,0.263
19171,0.231
19173,0.336
19175,0.318
19177,0.309
19179,0.35
19181,0.282
19183,0.355
19185,0.237
19187,0.38
19189,0.356
19191,0.185
19193,0.36
19195,0.483
19197,0.315
20001,0.301
20003,0.294
20005,0.341
20007,0.226
20009,0.274
20011,0.33
20013,0.36
20015,0.275
20017,
20019,
20021,0.387
20023,
20025,
20027,0.308
20029,0.316
20031,0.323
20033,
20035,0.33
20037,0.305
20039,
20041,0.331
20043,0.351
20045,0.324
20047,
20049,
20051,0.246
20053,0.186
20055,0.334
20057,0.336
20059,0.385
20061,0.407
20063,
20065,
20067,0.312
20069,0.175
20071,
20073,0.247
20075,
20077,0.323
20079,0.279
20081,
20083,
20085,0.367
20087,0.214
20089,
20091,0.278
20093,
20095,0.198
20097,
20099,0.34
20101,
20103,0.339
20105,
20107,0.304
20109,
20111,0.342
20113,0.304
20115,0.295
20117,0.184
20119,
20121,0.271
20123,0.206
20125,0.376
20127,0.283
20129,
20131,0.161
20133,0.359
20135,
20137,0.237
20139,0.339
20141,
20143,0.319
20145,0.335
20147,0.356
20149,0.252
20151,0.289
20153,
20155,0.325
20157,0.354
20159,0.304
20161,0.343
20163,0.335
20165,
20167,0.373
20169,0.355
20171,0.229
20173,0.347
20175,0.303
20177,0.372
20179,
20181,0.264
20183,
20185,
20187,
20189,0.279
20191,0.278
20193,0.135
20195,
20197,0.409
20199,
20201,0.248
20203,
20205,0.297
20207,
20209,0.378
21001,0.176
21003,0.397
21005,0.283
21007,
21009,0.381
21011,0.372
21013,0.388
21015,0.353
21017,0.369
21019,0.322
21021,0.358
21023,0.385
21025,0.26
21027,0.322
21029,0.29
21031,0.334
21033,0.403
21035,0.29
21037,0.46
21039,
21041,0.481
21043,0.369
21045,0.302
21047,0.39
21049,0.396
21051,0.358
21053,0.438
21055,0.321
21057,
21059,0.376
21061,0.393
21063,
21065,0.339
21067,0.398
21069,0.35
21071,0.304
21073,0.376
21075,0.452
21077,
21079,0.354
21081,0.24
21083,0.371
21085,0.339
21087,0.285
21089,0.346
21091,0.304
21093,0.324
21095,0.228
21097,0.358
21099,0.388
21101,0.374
21103,0.294
21105,
21107,0.337
21109,0.27
21111,0.411
21113,0.387
21115,0.283
21117,0.446
21119,0.247
21121,0.38
21123,0.367
21125,0.351
21127,0.362
21129,
21131,0.261
21133,0.338
21135,0.387
21137,0.3
21139,0.251
21141,0.33
21143,
21145,0.425
21147,0.31
21149,0.345
21151,0.374
21153,0.37
21155,0.337
21157,0.31
21159,0.298
21161,0.337
21163,0.375
21165,
21167,0.401
21169,0.333
21171,0.302
21173,0.396
21175,0.343
21177,0.365
21179,0.388
21181,0.406
21183,0.325
21185,0.301
21187,0.341
21189,
21191,0.442
21193,0.284
21195,0.289
21197,0.458
21199,0.417
21201,
21203,0.312
21205,0.323
21207,0.322
21209,0.351
21211,0.301
21213,0.309
21215,0.287
21217,0.412
21219,0.224
21221,0.449
21223,0.366
21225,0.297
21227,0.366
21229,0.355
21231,0.442
21233,0.424
21235,0.336
21237,0.261
21239,0.365
22001,0.432
22003,0.373
22005,0.406
22007,0.472
22009,0.451
22011,0.288
22013,0.48
22015,0.394
22017,0.443
22019,0.361
22021,0.369
22023,0.373
22025,0.543
22027,0.524
22029,0.462
22031,0.407
22033,0.406
22035,0.518
22037,0.447
22039,0.39
22041,0.486
22043,0.457
22045,0.391
22047,0.478
22049,0.396
22051,0.377
22053,0.337
22055,0.375
22057,0.431
22059,0.348
22061,0.457
22063,0.348
22065,0.424
22067,0.385
22069,0.413
22071,0.384
22073,0.416
22075,0.313
22077,0.446
22079,0.391
22081,0.527
22083,0.502
22085,0.413
22087,0.364
22089,0.373
22091,0.408
22093,0.532
22095,0.467
22097,0.402
22099,0.405
22101,0.386
22103,0.325
22105,0.406
22107,0.508
22109,0.366
22111,0.409
22113,0.334
22115,0.269
22117,0.385
22119,0.461
22121,0.426
22123,0.451
22125,0.343
22127,0.408
23001,0.309
23003,0.348
23005,0.285
23007,0.264
23009,0.238
23011,0.3
23013,0.342
23015,0.338
23017,0.332
23019,0.318
23021,0.24
23023,0.242
23025,0.306
23027,0.311
23029,0.31
23031,0.258
24001,0.368
24003,0.382
24005,0.352
24009,0.329
24011,0.386
24013,0.311
24015,0.348
24017,0.359
24019,0.446
24021,0.33
24023,0.26
24025,0.348
24027,0.302
24029,0.415
24031,0.271
24033,0.285
24035,0.338
24037,0.383
24039,0.315
24041,0.393
24043,0.376
24045,0.384
24047,0.447
24510,0.38
25001,0.274
25003,0.309
25005,0.324
25007,0.203
25009,0.329
25011,0.281
25013,0.395
25015,0.284
25017,0.283
25019,
25021,0.256
25023,0.331
25025,0.309
25027,0.335
26001,0.358
26003,0.24
26005,0.304
26007,0.374
26009,0.341
26011,0.282
26013,0.205
26015,0.331
26017,0.358
26019,0.315
26021,0.406
26023,0.33
26025,0.393
26027,0.365
26029,0.328
26031,0.318
26033,0.306
26035,0.369
26037,0.289
26039,0.185
26041,0.286
26043,0.347
26045,0.309
26047,0.236
26049,0.345
26051,0.341
26053,0.266
26055,0.289
26057,0.362
26059,0.336
26061,0.31
26063,0.226
26065,0.367
26067,0.371
26069,0.33
26071,0.379
26073,0.362
26075,0.353
26077,0.4
26079,0.32
26081,0.401
26083,
26085,0.414
26087,0.244
26089,0.292
26091,0.295
26093,0.29
26095,
26097,0.259
26099,0.304
26101,0.312
26103,0.296
26105,0.394
26107,0.38
26109,0.293
26111,0.374
26113,0.346
26115,0.298
26117,0.323
26119,0.204
26121,0.393
26123,0.346
26125,0.321
26127,0.329
26129,0.344
26131,0.324
26133,0.275
26135,0.28
26137,0.274
26139,0.313
26141,0.311
26143,0.336
26145,0.372
26147,0.335
26149,0.328
26151,0.288
26153,0.323
26155,0.285
26157,0.294
26159,0.348
26161,0.332
26163,0.361
26165,0.314
27001,0.369
27003,0.289
27005,0.322
27007,0.4
27009,0.229
27011,0.17
27013,0.243
27015,0.172
27017,0.305
27019,0.208
27021,0.411
27023,0.267
27025,0.237
27027,0.331
27029,0.36
27031,
27033,0.256
27035,0.295
27037,0.308
27039,0.292
27041,0.269
27043,0.305
27045,0.227
27047,0.294
27049,0.246
27051,0.249
27053,0.377
27055,0.168
27057,0.328
27059,0.255
27061,0.266
27063,0.303
27065,0.304
27067,0.301
27069,0.219
27071,0.254
27073,0.228
27075,0.273
27077,
27079,0.241
27081,0.325
27083,0.263
27085,0.254
27087,0.396
27089,0.302
27091,0.295
27093,0.268
27095,0.367
27097,0.299
27099,0.304
27101,0.261
27103,0.276
27105,0.29
27107,0.361
27109,0.294
27111,0.31
27113,0.244
27115,0.326
27117,0.201
27119,0.292
27121,0.214
27123,0.364
27125,0.144
27127,0.235
27129,0.308
27131,0.279
27133,0.322
27135,0.182
27137,0.331
27139,0.248
27141,0.27
27143,0.203
27145,0.246
27147,0.326
27149,0.23
27151,0.273
27153,0.243
27155,
27157,0.255
27159,0.206
27161,0.27
27163,0.285
27165,0.315
27167,0.332
27169,0.238
27171,0.302
27173,0.336
28001,0.42
28003,0.356
28005,0.43
28007,0.446
28009,
28011,0.495
28013,0.479
28015,0.487
28017,0.419
28019,0.455
28021,0.361
28023,0.44
28025,0.42
28027,0.514
28029,0.474
28031,0.441
28033,0.339
28035,0.395
28037,0.474
28039,0.295
28041,0.475
28043,0.398
28045,0.325
28047,0.347
28049,0.416
28051,0.485
28053,0.503
28055,
28057,0.441
28059,0.34
28061,0.438
28063,0.301
28065,0.474
28067,0.425
28069,0.447
28071,0.426
28073,0.312
28075,0.454
28077,0.429
28079,0.47
28081,0.429
28083,0.488
28085,0.423
28087,0.437
28089,0.432
28091,0.462
28093,0.399
28095,0.405
28097,0.462
28099,0.424
28101,0.481
28103,0.546
28105,0.441
28107,0.451
28109,0.365
28111,0.394
28113,0.415
28115,0.37
28117,0.44
28119,0.486
28121,0.349
28123,0.506
28125,0.521
28127,0.45
28129,0.433
28131,0.386
28133,0.46
28135,0.441
28137,0.429
28139,0.388
28141,0.383
28143,0.466
28145,0.446
28147,0.519
28149,0.422
28151,0.457
28153,0.474
28155,0.534
28157,0.365
28159,0.48
28161,0.488
28163,0.495
29001,0.28
29003,0.308
29005,0.4
29007,0.325
29009,0.339
29011,0.346
29013,0.326
29015,0.305
29017,0.412
29019,0.358
29021,0.379
29023,0.368
29025,0.361
29027,0.337
29029,0.315
29031,0.377
29033,0.404
29035,0.34
29037,0.273
29039,0.384
29041,0.419
29043,0.261
29045,0.31
29047,0.293
29049,0.298
29051,0.326
29053,0.307
29055,0.304
29057,0.338
29059,0.231
29061,0.301
29063,0.318
29065,0.285
29067,0.232
29069,0.437
29071,0.334
29073,0.383
29075,0.39
29077,0.325
29079,0.395
29081,0.243
29083,0.384
29085,
29087,0.26
29089,0.363
29091,0.315
29093,0.442
29095,0.383
29097,0.35
29099,0.298
29101,0.313
29103,
29105,0.326
29107,0.356
29109,0.329
29111,0.224
29113,0.356
29115,0.336
29117,0.404
29119,0.279
29121,0.361
29123,0.32
29125,0.298
29127,0.353
29129,
29131,0.421
29133,0.397
29135,0.399
29137,0.241
29139,0.31
29141,0.332
29143,0.453
29145,0.259
29147,0.316
29149,0.223
29151,0.233
29153,0.277
29155,0.475
29157,0.352
29159,0.319
29161,0.352
29163,0.436
29165,0.326
29167,0.343
29169,0.3
29171,
29173,0.199
29175,0.392
29177,0.21
29179,0.357
29181,0.391
29183,0.321
29185,0.354
29186,0.411
29187,0.342
29189,0.394
29195,0.406
29197,
29199,
29201,0.419
29203,0.24
29205,0.101
29207,0.337
29209,0.244
29211,0.341
29213,0.31
29215,0.342
29217,0.353
29219,0.372
29221,0.321
29223,0.364
29225,0.34
29227,
29229,0.365
29510,0.427
30001,0.121
30003,0.407
30005,0.4
30007,
30009,0.103
30011,
30013,0.271
30015,0.237
30017,0.235
30019,
30021,0.241
30023,0.359
30025,
30027,0.248
30029,0.223
30031,0.19
30033,
30035,0.405
30037,
30039,
30041,0.399
30043,0.193
30045,
30047,0.296
30049,0.284
30051,
30053,0.187
30055,
30057,
30059,
30061,
30063,0.248
30065,
30067,0.274
30069,
30071,0.237
30073,0.344
30075,
30077,0.229
30079,
30081,0.166
30083,0.202
30085,0.306
30087,0.386
30089,0.262
30091,
30093,0.296
30095,0.267
30097,
30099,0.191
30101,
30103,
30105,0.306
30107,
30109,
30111,0.267
31001,0.283
31003,0.358
31005,
31007,
31009,
31011,0.189
31013,0.253
31015,
31017,
31019,0.257
31021,0.291
31023,0.25
31025,0.226
31027,0.155
31029,
31031,0.208
31033,0.26
31035,0.231
31037,0.247
31039,0.294
31041,0.278
31043,0.247
31045,0.243
31047,0.309
31049,
31051,0.273
31053,0.289
31055,0.405
31057,
31059,0.294
31061,
31063,
31065,0.288
31067,0.379
31069,
31071,
31073,
31075,
31077,
31079,0.295
31081,0.304
31083,
31085,
31087,
31089,0.163
31091,
31093,0.264
31095,0.278
31097,
31099,0.205
31101,0.29
31103,
31105,
31107,0.192
31109,0.359
31111,0.291
31113,
31115,
31117,
31119,0.257
31121,0.344
31123,0.16
31125,
31127,0.249
31129,
31131,0.314
31133,
31135,
31137,0.287
31139,0.225
31141,0.23
31143,
31145,0.217
31147,0.24
31149,
31151,0.235
31153,0.301
31155,0.27
31157,0.322
31159,0.323
31161,0.286
31163,
31165,
31167,
31169,0.203
31171,
31173,0.517
31175,
31177,0.234
31179,0.091
31181,
31183,
31185,0.278
32001,0.251
32003,0.257
32005,0.277
32007,0.271
32009,
32011,
32013,0.306
32015,0.231
32017,
32019,0.273
32021,
32023,0.271
32027,
32029,
32031,0.281
32033,0.23
32510,0.272
33001,0.257
33003,0.215
33005,0.303
33007,0.3
33009,0.265
33011,0.318
33013,0.319
33015,0.279
33017,0.306
33019,0.315
34001,0.407
34003,0.236
34005,0.325
34007,0.405
34009,0.347
34011,0.4
34013,0.394
34015,0.336
34017,0.309
34019,0.239
34021,0.401
34023,0.301
34025,0.34
34027,0.283
34029,0.288
34031,0.371
34033,0.383
34035,0.321
34037,0.285
34039,0.351
34041,0.283
35001,0.313
35003,
35005,0.365
35006,0.332
35007,0.196
35009,0.344
35011,
35013,0.259
35015,0.243
35017,0.32
35019,
35021,
35023,0.205
35025,0.277
35027,0.255
35028,0.194
35029,0.275
35031,0.267
35033,
35035,0.273
35037,0.274
35039,0.292
35041,0.271
35043,0.31
35045,0.319
35047,0.32
35049,0.234
35051,0.261
35053,0.31
35055,0.183
35057,0.284
35059,
35061,0.324
36001,0.371
36003,0.346
36005,0.263
36007,0.344
36009,0.361
36011,0.352
36013,0.364
36015,0.409
36017,0.344
36019,0.308
36021,0.358
36023,0.344
36025,0.326
36027,0.326
36029,0.375
36031,0.284
36033,0.37
36035,0.323
36037,0.321
36039,0.289
36041,
36043,0.33
36045,0.363
36047,0.249
36049,0.23
36051,0.278
36053,0.33
36055,0.406
36057,0.333
36059,0.309
36061,0.265
36063,0.361
36065,0.358
36067,0.396
36069,0.322
36071,0.337
36073,0.266
36075,0.333
36077,0.303
36079,0.246
36081,0.244
36083,0.377
36085,0.333
36087,0.347
36089,0.326
36091,0.325
36093,0.405
36095,0.304
36097,0.235
36099,0.284
36101,0.32
36103,0.298
36105,0.34
36107,0.364
36109,0.3
36111,0.31
36113,0.316
36115,0.297
36117,0.338
36119,0.33
36121,0.292
36123,0.292
37001,0.402
37003,0.351
37005,0.402
37007,0.456
37009,0.332
37011,0.335
37013,0.409
37015,0.507
37017,0.422
37019,0.275
37021,0.331
37023,0.393
37025,0.389
37027,0.412
37029,0.361
37031,0.341
37033,0.447
37035,0.426
37037,0.317
37039,0.327
37041,0.483
37043,0.322
37045,0.445
37047,0.364
37049,0.344
37051,0.344
37053,0.328
37055,0.263
37057,0.416
37059,0.382
37061,0.436
37063,0.381
37065,0.426
37067,0.408
37069,0.366
37071,0.414
37073,0.403
37075,0.336
37077,0.401
37079,0.476
37081,0.399
37083,0.451
37085,0.452
37087,0.336
37089,0.296
37091,0.429
37093,0.309
37095,
37097,0.411
37099,0.262
37101,0.4
37103,0.345
37105,0.409
37107,0.434
37109,0.417
37111,0.362
37113,0.35
37115,0.332
37117,0.42
37119,0.402
37121,0.305
37123,0.374
37125,0.382
37127,0.406
37129,0.355
37131,0.431
37133,0.337
37135,0.357
37137,0.427
37139,0.376
37141,0.323
37143,0.489
37145,0.412
37147,0.427
37149,0.308
37151,0.367
37153,0.421
37155,0.394
37157,0.385
37159,0.397
37161,0.367
37163,0.404
37165,0.387
37167,0.391
37169,0.354
37171,0.373
37173,0.334
37175,0.293
37177,
37179,0.374
37181,0.423
37183,0.38
37185,0.463
37187,0.372
37189,0.238
37191,0.383
37193,0.405
37195,0.442
37197,0.379
37199,0.386
38001,
38003,0.251
38005,0.66
38007,
38009,0.104
38011,
38013,
38015,0.268
38017,0.287
38019,
38021,
38023,
38025,
38027,
38029,
38031,
38033,
38035,0.272
38037,
38039,
38041,
38043,
38045,
38047,
38049,0.185
38051,
38053,
38055,0.283
38057,0.175
38059,0.239
38061,0.422
38063,
38065,
38067,0.226
38069,
38071,0.356
38073,0.238
38075,
38077,0.267
38079,0.346
38081,
38083,
38085,
38087,
38089,0.163
38091,
38093,0.256
38095,
38097,0.316
38099,0.192
38101,0.273
38103,
38105,0.189
39001,0.424
39003,0.417
39005,0.313
39007,0.329
39009,0.3
39011,0.298
39013,0.366
39015,0.344
39017,0.406
39019,0.315
39021,0.334
39023,0.41
39025,0.369
39027,0.359
39029,0.366
39031,0.396
39033,0.403
39035,0.432
39037,0.338
39039,0.357
39041,0.363
39043,0.354
39045,0.37
39047,0.451
39049,0.427
39051,0.271
39053,0.408
39055,0.274
39057,0.368
39059,0.378
39061,0.468
39063,0.345
39065,0.315
39067,0.393
39069,0.34
39071,0.36
39073,0.372
39075,0.276
39077,0.324
39079,0.333
39081,0.425
39083,0.308
39085,0.33
39087,0.365
39089,0.34
39091,0.353
39093,0.363
39095,0.4
39097,0.391
39099,0.402
39101,0.429
39103,0.279
39105,0.278
39107,0.336
39109,0.374
39111,0.324
39113,0.416
39115,0.398
